field-0	field-1	field-2	field-3	field-4	field-5	field-6	field-7	field-8	field-9	field-10	field-11	field-12	field-13	field-14	field-15	field-16	field-17	field-18	field-19	field-20	field-21
-5843495416241995736	notional-0	phase0	2923	12136	4146	65	958	330	31817	212	902	175	1840	38924	12989	5040	52920	17640	4	42	14
-5843495416241995736	notional-0	phase4	132	352	87	0	40	30	1617	0	0	0	0	994	345	132	1386	462	4	42	14
-5843495416241995736	notional-0	phase3	480	1306	307	0	142	60	5880	0	0	0	0	3592	1313	480	5040	1680	4	42	14
-5843495416241995736	notional-0	phase5	192	618	174	0	0	0	2289	0	0	0	0	1398	498	192	2016	672	4	42	14
-5843495416241995736	notional-0	phase1	1633	7248	936	90	521	109	30178	0	0	0	1349	24487	9707	3072	32256	10752	4	42	14
-5843495416241995736	notional-0	phase2	0	1984	710	0	210	30	7657	593	1346	928	1571	19182	5906	2164	22722	7574	4	42	14
5694868678511409995	notional-0	phase0	2363	11705	3789	90	709	293	31817	102	438	333	1225	40068	13225	3780	52920	17640	3	42	14
5694868678511409995	notional-0	phase4	99	582	98	0	27	20	1617	0	0	0	0	777	344	99	1386	462	3	42	14
5694868678511409995	notional-0	phase3	360	1707	379	0	315	40	5880	0	0	0	0	3018	1261	360	5040	1680	3	42	14
5694868678511409995	notional-0	phase5	144	689	193	0	39	0	2289	0	0	0	0	1288	479	144	2016	672	3	42	14
5694868678511409995	notional-0	phase1	1339	6017	2391	86	440	185	30178	0	0	0	879	25799	8176	2304	32256	10752	3	42	14
5694868678511409995	notional-0	phase2	99	2361	720	0	180	90	7657	216	772	0	1308	19409	6764	1623	22722	7574	3	42	14
5111195811822994797	notional-0	phase0	1474	12157	3470	60	862	308	31817	38	599	533	948	39302	13329	2520	52920	17640	2	42	14
5111195811822994797	notional-0	phase4	66	430	123	0	45	0	1617	0	0	0	0	911	339	66	1386	462	2	42	14
5111195811822994797	notional-0	phase3	240	1519	526	0	132	60	5880	0	0	0	0	3389	1094	240	5040	1680	2	42	14
5111195811822994797	notional-0	phase5	96	709	288	0	50	0	2289	0	0	0	0	1257	384	96	2016	672	2	42	14
5111195811822994797	notional-0	phase1	994	5885	2923	60	456	253	30178	0	0	0	482	25915	7576	1536	32256	10752	2	42	14
5111195811822994797	notional-0	phase2	0	3237	240	0	270	30	7657	151	1355	0	931	17860	7304	1082	22722	7574	2	42	14
-5025562857975149833	notional-0	phase0	826	11971	3665	30	895	296	31817	71	709	131	333	39345	13548	1260	52920	17640	1	42	14
